ID,Year,113 Cause Name,Cause Name,State,Deaths,Age-adjusted Death Rate
1016,2006,Alzheimer's disease (G30),Alzheimer's disease,Alaska,73,25.9
1017,2005,Alzheimer's disease (G30),Alzheimer's disease,Alaska,61,22.2
1018,2004,Alzheimer's disease (G30),Alzheimer's disease,Alaska,48,18
1019,2003,Alzheimer's disease (G30),Alzheimer's disease,Alaska,56,22.9
1020,2002,Alzheimer's disease (G30),Alzheimer's disease,Alaska,61,25.8
1021,2001,Alzheimer's disease (G30),Alzheimer's disease,Alaska,44,18.9
1022,2000,Alzheimer's disease (G30),Alzheimer's disease,Alaska,47,21.5
1023,1999,Alzheimer's disease (G30),Alzheimer's disease,Alaska,24,11.9
1024,2016,Alzheimer's disease (G30),Alzheimer's disease,Arizona,3082,35.8
1025,2015,Alzheimer's disease (G30),Alzheimer's disease,Arizona,2943,35.8
1026,2014,Alzheimer's disease (G30),Alzheimer's disease,Arizona,2485,31.6
1027,2013,Alzheimer's disease (G30),Alzheimer's disease,Arizona,2383,31.7
1028,2012,Alzheimer's disease (G30),Alzheimer's disease,Arizona,2160,30
1029,2011,Alzheimer's disease (G30),Alzheimer's disease,Arizona,2348,33.7
1030,2010,Alzheimer's disease (G30),Alzheimer's disease,Arizona,2327,35.3
1031,2009,Alzheimer's disease (G30),Alzheimer's disease,Arizona,2097,32.7
1032,2008,Alzheimer's disease (G30),Alzheimer's disease,Arizona,2099,34
1033,2007,Alzheimer's disease (G30),Alzheimer's disease,Arizona,2051,34.2
1034,2006,Alzheimer's disease (G30),Alzheimer's disease,Arizona,2066,35.8
1035,2005,Alzheimer's disease (G30),Alzheimer's disease,Arizona,1831,33
1036,2004,Alzheimer's disease (G30),Alzheimer's disease,Arizona,1675,31.6
1037,2003,Alzheimer's disease (G30),Alzheimer's disease,Arizona,1703,32.9
1038,2002,Alzheimer's disease (G30),Alzheimer's disease,Arizona,1433,28.7
1039,2001,Alzheimer's disease (G30),Alzheimer's disease,Arizona,1108,22.7
1040,2000,Alzheimer's disease (G30),Alzheimer's disease,Arizona,1045,22
1041,1999,Alzheimer's disease (G30),Alzheimer's disease,Arizona,963,20.8
1042,2016,Alzheimer's disease (G30),Alzheimer's disease,Arkansas,1475,41.3
1043,2015,Alzheimer's disease (G30),Alzheimer's disease,Arkansas,1457,41.5
1044,2014,Alzheimer's disease (G30),Alzheimer's disease,Arkansas,1193,34.8
1045,2013,Alzheimer's disease (G30),Alzheimer's disease,Arkansas,918,27.2
1046,2012,Alzheimer's disease (G30),Alzheimer's disease,Arkansas,931,27.9
1047,2011,Alzheimer's disease (G30),Alzheimer's disease,Arkansas,1002,30.4
1048,2010,Alzheimer's disease (G30),Alzheimer's disease,Arkansas,955,29.6
1049,2009,Alzheimer's disease (G30),Alzheimer's disease,Arkansas,885,27.8
1050,2008,Alzheimer's disease (G30),Alzheimer's disease,Arkansas,893,28.4
1051,2007,Alzheimer's disease (G30),Alzheimer's disease,Arkansas,824,26.5
1052,2006,Alzheimer's disease (G30),Alzheimer's disease,Arkansas,783,25.5
1053,2005,Alzheimer's disease (G30),Alzheimer's disease,Arkansas,686,22.8
1054,2004,Alzheimer's disease (G30),Alzheimer's disease,Arkansas,622,20.9
1055,2003,Alzheimer's disease (G30),Alzheimer's disease,Arkansas,552,18.6
1056,2002,Alzheimer's disease (G30),Alzheimer's disease,Arkansas,551,18.6
1057,2001,Alzheimer's disease (G30),Alzheimer's disease,Arkansas,452,15.3
1058,2000,Alzheimer's disease (G30),Alzheimer's disease,Arkansas,430,14.6
1059,1999,Alzheimer's disease (G30),Alzheimer's disease,Arkansas,434,14.8
1060,2016,Alzheimer's disease (G30),Alzheimer's disease,California,15570,36.1
1061,2015,Alzheimer's disease (G30),Alzheimer's disease,California,15065,35.7
1062,2014,Alzheimer's disease (G30),Alzheimer's disease,California,12644,30.9
1063,2013,Alzheimer's disease (G30),Alzheimer's disease,California,11891,30
1064,2012,Alzheimer's disease (G30),Alzheimer's disease,California,11649,30
1065,2011,Alzheimer's disease (G30),Alzheimer's disease,California,11555,30.7
1066,2010,Alzheimer's disease (G30),Alzheimer's disease,California,10856,30.1
1067,2009,Alzheimer's disease (G30),Alzheimer's disease,California,9905,28.1
1068,2008,Alzheimer's disease (G30),Alzheimer's disease,California,10098,29.5
1069,2007,Alzheimer's disease (G30),Alzheimer's disease,California,8497,25.6
1070,2006,Alzheimer's disease (G30),Alzheimer's disease,California,8146,25.3
1071,2005,Alzheimer's disease (G30),Alzheimer's disease,California,7706,24.6
1072,2004,Alzheimer's disease (G30),Alzheimer's disease,California,6964,22.9
1073,2003,Alzheimer's disease (G30),Alzheimer's disease,California,6585,22
1074,2002,Alzheimer's disease (G30),Alzheimer's disease,California,5421,18.6
1075,2001,Alzheimer's disease (G30),Alzheimer's disease,California,4935,17.2
1076,2000,Alzheimer's disease (G30),Alzheimer's disease,California,4419,15.8
1077,1999,Alzheimer's disease (G30),Alzheimer's disease,California,4532,16.6
