ID,Year,113 Cause Name,Cause Name,State,Deaths,Age-adjusted Death Rate
3117,2011,Chronic lower respiratory diseases (J40-J47),CLRD,Indiana,4064,57.9
3118,2010,Chronic lower respiratory diseases (J40-J47),CLRD,Indiana,3794,55.3
3119,2009,Chronic lower respiratory diseases (J40-J47),CLRD,Indiana,3745,55.5
3120,2008,Chronic lower respiratory diseases (J40-J47),CLRD,Indiana,3878,58.1
3121,2007,Chronic lower respiratory diseases (J40-J47),CLRD,Indiana,3227,49.3
3122,2006,Chronic lower respiratory diseases (J40-J47),CLRD,Indiana,3291,51
3123,2005,Chronic lower respiratory diseases (J40-J47),CLRD,Indiana,3471,54.8
3124,2004,Chronic lower respiratory diseases (J40-J47),CLRD,Indiana,3145,50.4
3125,2003,Chronic lower respiratory diseases (J40-J47),CLRD,Indiana,3264,52.8
3126,2002,Chronic lower respiratory diseases (J40-J47),CLRD,Indiana,3138,51.5
3127,2001,Chronic lower respiratory diseases (J40-J47),CLRD,Indiana,3136,52.1
3128,2000,Chronic lower respiratory diseases (J40-J47),CLRD,Indiana,3052,51.2
3129,1999,Chronic lower respiratory diseases (J40-J47),CLRD,Indiana,3053,51.6
3130,2016,Chronic lower respiratory diseases (J40-J47),CLRD,Iowa,2006,48.6
3131,2015,Chronic lower respiratory diseases (J40-J47),CLRD,Iowa,2011,49.1
3132,2014,Chronic lower respiratory diseases (J40-J47),CLRD,Iowa,1915,47.7
3133,2013,Chronic lower respiratory diseases (J40-J47),CLRD,Iowa,1892,47.8
3134,2012,Chronic lower respiratory diseases (J40-J47),CLRD,Iowa,1824,46.8
3135,2011,Chronic lower respiratory diseases (J40-J47),CLRD,Iowa,1833,47.6
3136,2010,Chronic lower respiratory diseases (J40-J47),CLRD,Iowa,1698,44.7
3137,2009,Chronic lower respiratory diseases (J40-J47),CLRD,Iowa,1832,48.7
3138,2008,Chronic lower respiratory diseases (J40-J47),CLRD,Iowa,1848,49.4
3139,2007,Chronic lower respiratory diseases (J40-J47),CLRD,Iowa,1660,44.6
3140,2006,Chronic lower respiratory diseases (J40-J47),CLRD,Iowa,1655,45.2
3141,2005,Chronic lower respiratory diseases (J40-J47),CLRD,Iowa,1703,47
3142,2004,Chronic lower respiratory diseases (J40-J47),CLRD,Iowa,1547,42.7
3143,2003,Chronic lower respiratory diseases (J40-J47),CLRD,Iowa,1674,46.6
3144,2002,Chronic lower respiratory diseases (J40-J47),CLRD,Iowa,1580,44.4
3145,2001,Chronic lower respiratory diseases (J40-J47),CLRD,Iowa,1552,43.6
3146,2000,Chronic lower respiratory diseases (J40-J47),CLRD,Iowa,1512,42.9
3147,1999,Chronic lower respiratory diseases (J40-J47),CLRD,Iowa,1643,46.8
3148,2016,Chronic lower respiratory diseases (J40-J47),CLRD,Kansas,1654,48.3
3149,2015,Chronic lower respiratory diseases (J40-J47),CLRD,Kansas,1704,49.7
3150,2014,Chronic lower respiratory diseases (J40-J47),CLRD,Kansas,1673,49.2
3151,2013,Chronic lower respiratory diseases (J40-J47),CLRD,Kansas,1673,50.3
3152,2012,Chronic lower respiratory diseases (J40-J47),CLRD,Kansas,1687,51.8
3153,2011,Chronic lower respiratory diseases (J40-J47),CLRD,Kansas,1647,51.3
3154,2010,Chronic lower respiratory diseases (J40-J47),CLRD,Kansas,1580,50
3155,2009,Chronic lower respiratory diseases (J40-J47),CLRD,Kansas,1580,50.6
3156,2008,Chronic lower respiratory diseases (J40-J47),CLRD,Kansas,1626,52.8
3157,2007,Chronic lower respiratory diseases (J40-J47),CLRD,Kansas,1476,48.6
3158,2006,Chronic lower respiratory diseases (J40-J47),CLRD,Kansas,1501,49.9
3159,2005,Chronic lower respiratory diseases (J40-J47),CLRD,Kansas,1567,52.7
3160,2004,Chronic lower respiratory diseases (J40-J47),CLRD,Kansas,1316,44.9
3161,2003,Chronic lower respiratory diseases (J40-J47),CLRD,Kansas,1443,49.5
3162,2002,Chronic lower respiratory diseases (J40-J47),CLRD,Kansas,1367,47.2
