ID,Year,113 Cause Name,Cause Name,State,Deaths,Age-adjusted Death Rate
5101,2007,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,Maryland,11314,203
5102,2006,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,Maryland,11268,206.6
5103,2005,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,Maryland,11594,217.9
5104,2004,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,Maryland,11346,218.5
5105,2003,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,Maryland,12164,239.8
5106,2002,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,Maryland,12008,242.4
5107,2001,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,Maryland,12310,253.8
5108,2000,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,Maryland,12348,261.3
5109,1999,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,Maryland,12080,259.2
5110,2016,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,Massachusetts,11921,134.8
5111,2015,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,Massachusetts,12130,138.5
5112,2014,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,Massachusetts,11817,137.1
5113,2012,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,Utah,3091,142.4
5114,2013,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,Massachusetts,12023,141.5
5115,2012,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,Massachusetts,11602,139.1
5116,2011,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,Massachusetts,11765,143.8
5117,2010,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,Massachusetts,12043,150
5118,2009,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,Massachusetts,12322,156.1
5119,2008,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,Massachusetts,12776,164.1
5120,2007,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,Massachusetts,12710,166.4
5121,2006,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,Massachusetts,12947,171.7
5122,2005,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,Massachusetts,13280,179
5123,2004,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,Massachusetts,13824,188.9
5124,2003,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,Massachusetts,14634,201.5
5125,2002,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,Massachusetts,14736,205.5
5126,2001,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,Massachusetts,15144,213.5
5127,2000,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,Massachusetts,15314,217.9
5128,1999,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,Massachusetts,15871,228.5
5129,2016,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,Michigan,25304,200.6
5130,2015,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,Michigan,24794,198.9
5131,2014,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,Michigan,24692,200.9
5132,2013,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,Michigan,24156,199.8
5133,2012,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,Michigan,23520,197.9
5134,2011,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,Michigan,23358,200.1
5135,2010,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,Michigan,23326,204.3
5136,2009,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,Michigan,23099,205.5
5137,2008,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,Michigan,24344,220.6
5138,2007,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,Michigan,24149,222.5
5139,2006,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,Michigan,24255,228.1
5140,2005,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,Michigan,25128,241.3
5141,2004,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,Michigan,24825,242.7
5142,2003,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,Michigan,26010,258
5143,2002,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,Michigan,26659,269.6
5144,2001,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,Michigan,26896,276.4
