ID,Year,113 Cause Name,Cause Name,State,Deaths,Age-adjusted Death Rate
6111,2005,Influenza and pneumonia (J09-J18),Influenza and pneumonia,Mississippi,645,23.5
6112,2004,Influenza and pneumonia (J09-J18),Influenza and pneumonia,Mississippi,637,23.3
6113,2003,Influenza and pneumonia (J09-J18),Influenza and pneumonia,Mississippi,758,28.1
6114,2002,Influenza and pneumonia (J09-J18),Influenza and pneumonia,Mississippi,801,29.8
6115,2001,Influenza and pneumonia (J09-J18),Influenza and pneumonia,Mississippi,754,28
6116,2000,Influenza and pneumonia (J09-J18),Influenza and pneumonia,Mississippi,809,29.8
6117,1999,Influenza and pneumonia (J09-J18),Influenza and pneumonia,Mississippi,801,29.8
6118,2016,Influenza and pneumonia (J09-J18),Influenza and pneumonia,Missouri,1150,15.1
6119,2015,Influenza and pneumonia (J09-J18),Influenza and pneumonia,Missouri,1337,17.9
6120,2014,Influenza and pneumonia (J09-J18),Influenza and pneumonia,Missouri,1321,18.1
6121,2013,Influenza and pneumonia (J09-J18),Influenza and pneumonia,Missouri,1352,18.7
6122,2012,Influenza and pneumonia (J09-J18),Influenza and pneumonia,Missouri,1213,17
6123,2011,Influenza and pneumonia (J09-J18),Influenza and pneumonia,Missouri,1205,17.2
6124,2010,Influenza and pneumonia (J09-J18),Influenza and pneumonia,Missouri,1188,17.4
6125,2009,Influenza and pneumonia (J09-J18),Influenza and pneumonia,Missouri,1330,19.7
6126,2008,Influenza and pneumonia (J09-J18),Influenza and pneumonia,Missouri,1414,21.3
6127,2007,Influenza and pneumonia (J09-J18),Influenza and pneumonia,Missouri,1289,19.6
6128,2006,Influenza and pneumonia (J09-J18),Influenza and pneumonia,Missouri,1285,19.9
6129,2005,Influenza and pneumonia (J09-J18),Influenza and pneumonia,Missouri,1527,24
6130,2004,Influenza and pneumonia (J09-J18),Influenza and pneumonia,Missouri,1389,22.1
6131,2003,Influenza and pneumonia (J09-J18),Influenza and pneumonia,Missouri,1604,25.7
6132,2002,Influenza and pneumonia (J09-J18),Influenza and pneumonia,Missouri,1619,26.2
6133,2001,Influenza and pneumonia (J09-J18),Influenza and pneumonia,Missouri,1604,26.1
6134,2000,Influenza and pneumonia (J09-J18),Influenza and pneumonia,Missouri,1629,26.7
6135,1999,Influenza and pneumonia (J09-J18),Influenza and pneumonia,Missouri,1716,28.3
6136,2016,Influenza and pneumonia (J09-J18),Influenza and pneumonia,Montana,147,11.1
6137,2015,Influenza and pneumonia (J09-J18),Influenza and pneumonia,Montana,183,13.7
6138,2014,Influenza and pneumonia (J09-J18),Influenza and pneumonia,Montana,179,13.7
6139,2013,Influenza and pneumonia (J09-J18),Influenza and pneumonia,Montana,210,16.4
6140,2012,Influenza and pneumonia (J09-J18),Influenza and pneumonia,Montana,155,12.2
6141,2011,Influenza and pneumonia (J09-J18),Influenza and pneumonia,Montana,156,12.8
6142,2010,Influenza and pneumonia (J09-J18),Influenza and pneumonia,Montana,168,13.6
6143,2009,Influenza and pneumonia (J09-J18),Influenza and pneumonia,Montana,176,14.8
6144,2008,Influenza and pneumonia (J09-J18),Influenza and pneumonia,Montana,168,14.6
6145,2007,Influenza and pneumonia (J09-J18),Influenza and pneumonia,Montana,183,16.1
6146,2006,Influenza and pneumonia (J09-J18),Influenza and pneumonia,Montana,169,15.2
6147,2005,Influenza and pneumonia (J09-J18),Influenza and pneumonia,Montana,213,19.5
6148,2004,Influenza and pneumonia (J09-J18),Influenza and pneumonia,Montana,165,15.5
6149,2003,Influenza and pneumonia (J09-J18),Influenza and pneumonia,Montana,256,24.8
6150,2002,Influenza and pneumonia (J09-J18),Influenza and pneumonia,Montana,255,25.2
6151,2001,Influenza and pneumonia (J09-J18),Influenza and pneumonia,Montana,193,19.4
6152,2000,Influenza and pneumonia (J09-J18),Influenza and pneumonia,Montana,202,20.9
6153,1999,Influenza and pneumonia (J09-J18),Influenza and pneumonia,Montana,252,26.5
6154,2016,Influenza and pneumonia (J09-J18),Influenza and pneumonia,Nebraska,342,14.3
6155,2015,Influenza and pneumonia (J09-J18),Influenza and pneumonia,Nebraska,397,16.9
6156,2014,Influenza and pneumonia (J09-J18),Influenza and pneumonia,Nebraska,351,15.1
6157,2013,Influenza and pneumonia (J09-J18),Influenza and pneumonia,Nebraska,343,14.5
6158,2012,Influenza and pneumonia (J09-J18),Influenza and pneumonia,Nebraska,291,12.7
6159,2011,Influenza and pneumonia (J09-J18),Influenza and pneumonia,Nebraska,325,14.2
6160,2010,Influenza and pneumonia (J09-J18),Influenza and pneumonia,Nebraska,266,11.9
6161,2009,Influenza and pneumonia (J09-J18),Influenza and pneumonia,Nebraska,266,12.3
6162,2008,Influenza and pneumonia (J09-J18),Influenza and pneumonia,Nebraska,366,17
6163,2007,Influenza and pneumonia (J09-J18),Influenza and pneumonia,Nebraska,331,15.5
6164,2006,Influenza and pneumonia (J09-J18),Influenza and pneumonia,Nebraska,345,16.3
6165,2005,Influenza and pneumonia (J09-J18),Influenza and pneumonia,Nebraska,370,17.7
6166,2004,Influenza and pneumonia (J09-J18),Influenza and pneumonia,Nebraska,347,17.3
6167,2003,Influenza and pneumonia (J09-J18),Influenza and pneumonia,Nebraska,435,21.1
6168,2002,Influenza and pneumonia (J09-J18),Influenza and pneumonia,Nebraska,418,20.6
6169,2001,Influenza and pneumonia (J09-J18),Influenza and pneumonia,Nebraska,296,14.6
6170,2000,Influenza and pneumonia (J09-J18),Influenza and pneumonia,Nebraska,433,21.8
6171,1999,Influenza and pneumonia (J09-J18),Influenza and pneumonia,Nebraska,459,23
6172,2016,Influenza and pneumonia (J09-J18),Influenza and pneumonia,Nevada,567,18.1
6173,2015,Influenza and pneumonia (J09-J18),Influenza and pneumonia,Nevada,630,21.3
6174,2014,Influenza and pneumonia (J09-J18),Influenza and pneumonia,Nevada,687,23.8
