ID,Year,113 Cause Name,Cause Name,State,Deaths,Age-adjusted Death Rate
4041,2005,Diabetes mellitus (E10-E14),Diabetes,Illinois,3034,24
4042,2004,Diabetes mellitus (E10-E14),Diabetes,Illinois,3069,24.5
4043,2003,Diabetes mellitus (E10-E14),Diabetes,Illinois,3044,24.6
4044,2002,Diabetes mellitus (E10-E14),Diabetes,Illinois,3011,24.6
4045,2001,Diabetes mellitus (E10-E14),Diabetes,Illinois,3092,25.5
4046,2000,Diabetes mellitus (E10-E14),Diabetes,Illinois,2995,25
4047,1999,Diabetes mellitus (E10-E14),Diabetes,Illinois,3004,25.2
4048,2016,Diabetes mellitus (E10-E14),Diabetes,Indiana,1992,26
4049,2015,Diabetes mellitus (E10-E14),Diabetes,Indiana,2030,26.9
4050,2014,Diabetes mellitus (E10-E14),Diabetes,Indiana,1819,24.4
4051,2013,Diabetes mellitus (E10-E14),Diabetes,Indiana,1943,26.3
4052,2012,Diabetes mellitus (E10-E14),Diabetes,Indiana,1860,25.9
4053,2011,Diabetes mellitus (E10-E14),Diabetes,Indiana,1808,25.4
4054,2010,Diabetes mellitus (E10-E14),Diabetes,Indiana,1587,22.7
4055,2009,Diabetes mellitus (E10-E14),Diabetes,Indiana,1646,24.1
4056,2008,Diabetes mellitus (E10-E14),Diabetes,Indiana,1683,24.9
4057,2007,Diabetes mellitus (E10-E14),Diabetes,Indiana,1564,23.5
4058,2006,Diabetes mellitus (E10-E14),Diabetes,Indiana,1682,25.9
4059,2005,Diabetes mellitus (E10-E14),Diabetes,Indiana,1719,27
4060,2004,Diabetes mellitus (E10-E14),Diabetes,Indiana,1673,26.6
4061,2003,Diabetes mellitus (E10-E14),Diabetes,Indiana,1731,27.8
4062,2002,Diabetes mellitus (E10-E14),Diabetes,Indiana,1688,27.6
4063,2001,Diabetes mellitus (E10-E14),Diabetes,Indiana,1677,27.7
4064,2000,Diabetes mellitus (E10-E14),Diabetes,Indiana,1673,28
4065,1999,Diabetes mellitus (E10-E14),Diabetes,Indiana,1591,26.9
4066,2016,Diabetes mellitus (E10-E14),Diabetes,Iowa,847,20.9
4067,2015,Diabetes mellitus (E10-E14),Diabetes,Iowa,1077,26.7
4068,2014,Diabetes mellitus (E10-E14),Diabetes,Iowa,1019,25.6
4069,2013,Diabetes mellitus (E10-E14),Diabetes,Iowa,747,19
4070,2012,Diabetes mellitus (E10-E14),Diabetes,Iowa,692,17.6
4071,2011,Diabetes mellitus (E10-E14),Diabetes,Iowa,770,19.9
4072,2010,Diabetes mellitus (E10-E14),Diabetes,Iowa,733,19.3
4073,2009,Diabetes mellitus (E10-E14),Diabetes,Iowa,702,18.7
4074,2008,Diabetes mellitus (E10-E14),Diabetes,Iowa,764,20.3
4075,2007,Diabetes mellitus (E10-E14),Diabetes,Iowa,767,20.6
4076,2006,Diabetes mellitus (E10-E14),Diabetes,Iowa,804,22
4077,2005,Diabetes mellitus (E10-E14),Diabetes,Iowa,727,20.1
4078,2004,Diabetes mellitus (E10-E14),Diabetes,Iowa,700,19.5
4079,2003,Diabetes mellitus (E10-E14),Diabetes,Iowa,727,20.2
4080,2002,Diabetes mellitus (E10-E14),Diabetes,Iowa,734,20.8
4081,2001,Diabetes mellitus (E10-E14),Diabetes,Iowa,709,20.1
